Common_name,Scientific_name,Comment,FracOccInDiet_S,FracBioInDiet_S
Eastern_hedgehog,Erinaceus_concolor,NA,8.5,2.4
Mole,Talpa_europaea,NA,2.8,1.1
Common_shrew,Sorex_araneus,NA,0.7,0.3
Undet._Soricidae,NA,NA,3.6,0.2
Bank_vole,Clethrionomys_glareolus,NA,2.8,0.2
Pine_vole,Pitymys_subterraneus,NA,3.5,0.3
Common_vole,Microtus_arvalis,NA,1.4,0.4
Undet._vole,Microtus_sp.,NA,2.8,0.3
House_mouse,Mus_musculus,NA,0.7,0.1
Undet._rodent,NA,NA,0.7,+
Wild_boar_carcass,NA,Carcass,0.7,+
Deer_carcass,NA,Carcass,13.5,0.3
Song_thrush,Turdus_philomelos,NA,0.7,+
Undet._medium-sized_bird,NA,Undet._birds,2.1,0.1
Undet._small_bird,NA,Undet._birds,2.8,0.3
Bird_egg,NA,Undet._birds,0.7,+
Lizard,Lacerta_sp.,NA,0.7,+
Slowworm,Anguis_fragilis,NA,0.7,+
Undet._toad,Bufo_sp.,NA,13.5,6.4
Common_frog,Rana_temporaria,NA,10.6,5.5
Moor_frog,Rana_arvalis,NA,1.4,0.4
Undet._frog,Rana_sp.,NA,7.1,1.6
Undet._amphibian,NA,Undet._amphibians,19.2,1.3
Fish,NA,NA,0.7,+
Snail,NA,Gastropoda_sp.,12.8,0.1
Carabidae_beetle,NA,Coleoptera,61.0,0.6
Dung_beetles,Geotrupes_sp.,Coleoptera,49.7,0.8
NA,Sylphidae,Coleoptera,5.0,+
Other_coleoptera,NA,Coleoptera,14.2,0.1
Nest_of_wasps,Vespidae,Hymenoptera,8.5,0.2
NA,Dytiscus_sp.,Coleoptera,0.7,+
Undet._insect,NA,NA,4.3,+
Larvae_of_insects,NA,NA,11.4,0.2
Earthworm,NA,Lumbricidae_sp.,90.8,70.0
Oak_seeds,Quercus_robur,Tree_seeds,5.0,0.5
Wild_raspberry,Rubus_sp.,Fleshy_fruits,7.8,2.8
Other_seeds_and_fruits,NA,NA,3.6,+
Mushrooms,NA,Mushrooms,2.1,0.1
Plant_litter,NA,Grasses,88.7,3.2
