Common_name,Scientific_name,Comment,FracOccInDiet_S,FracBioInDiet_S,FracOccInDiet_W,FracBioInDiet_W
Mole,Talpa_europaea,NA,0,0,0.9,0.1
Common_shrew,Sorex_araneus,NA,2.5,1.0,0.5,0.1
Lesser_shrew,Sorex_minutus,NA,1.3,0.6,0,0
Undet._shrew,Sorex_sp.,NA,2.5,2.4,0,0
Water_shrew,Neomys_fodiens,NA,3.8,2.5,0.9,0.1
Undet._water_shrew,Neomys_sp.,NA,2.5,1.3,0,0
Undet._shrew_Sorex_or_Neomys,NA,Undet._shrews,11.4,3.5,3.2,0.2
Bank_vole,Clethrionomys_glareolus,NA,10.1,4.3,5.0,1.0
Pine_vole,Pitymys_subterraneus,NA,6.3,4.2,0,0
Root_vole,Microtus_oeconomus,NA,1.3,1.8,0,0
Short-tailed_vole,Microtus_agrestis,NA,1.3,1.4,0,0
Undet._vole,Microtus_sp.,NA,7.6,3.9,0,0
Harvest_mouse,Micromys_minutus,NA,0,0,0.5,0.2
Yellow-necked_mouse,Apodemus_flavicollis,NA,5.1,2.7,10.4,3.0
Undet._rodent,NA,NA,0,0,0.9,+
Cervidae_carcass,NA,Carcass,0,0,1.4,0.8
Woodpecker,Dendrocopos_sp.,NA,1.3,0.1,0,0
Blackbird,Turdus_merula,NA,1.3,0.1,0,0
Undet._passerines,NA,Undet._birds,11.4,1.4,1.4,+
Common_frog,Rana_temporaria,NA,15.2,18.3,18.5,27.4
Moor_frog,Rana_arvalis,NA,0,0,1.4,1.2
Undet._frog,Rana_sp.,NA,36.7,41.6,67.6,65.7
Stickleback,Gasterosteus_aculeatus,NA,5.1,4.9,0,0
Undet._small_fish,NA,Gasterosteus_aculeatus,5.1,0.1,1.8,0.1
Snail,NA,Gastropoda_sp.,3.8,2.6,0,0
NA,Dytiscus_sp.,Coleoptera,12.7,0.5,4.1,0.1
NA,Geotrupes_sp.,Coleoptera,2.5,0.1,0,0
Other_and_Undet._insects,NA,NA,22.8,0.2,5.9,+
Earthworm,NA,Lumbricidae_sp.,8.9,+,0.5,+
Plant_material,NA,NA,3.8,0.5,0.5,+
