Common_name,Scientific_name,Comment,FracOccInDiet_W,FracPreyInDiet_W,FracBioInDiet_W,FracOccInDiet_S,FracPreyInDiet_S,FracBioInDiet_S
Eastern_hedgehog,Erinaceus_concolor,NA,0,0,0,6.3,2.0,4.2
Mole,Talpa_europaea,NA,1.1,0.5,1.5,51.3,16.5,32.4
Common_shrew,Sorex_araneus,NA,0,0,0,4.4,1.5,0.4
Lesser_shrew,Sorex_minutus,NA,3.4,1.6,0.2,0.7,0.2,+
Undet._shrew,Sorex_sp.,NA,0,0,0,0.9,0.4,0.1
Water_shrew,Neomys_fodiens,NA,0,0,0,0.7,0.2,0.1
Undet._Soricidae,NA,NA,0,0,0,5.6,1.7,0.4
Brown_hare,Lepus_europaeus,NA,0,0,0,0,0,0
Red_squirrel,Sciurus_vulgaris,NA,0,0,0,0.5,0.1,0.3
Bank_vole,Clethrionomys_glareolus,NA,4.5,2.1,1.7,49.0,15.8,8.6
Water_vole,Arvicola_terrestris,NA,0,0,0,0.2,0.1,0.2
Pine_vole,Pitymys_subterraneus,NA,0,0,0,4.4,1.4,0.8
Root_vole,Microtus_oeconomus,NA,33.0,20.9,25.4,1.6,0.7,0.5
Short-tailed_vole,Microtus_agrestis,NA,12.5,6.4,6.9,0,0,0
Common_vole,Microtus_arvalis,NA,58.0,54.5,48.5,3.5,1.2,0.8
Undet._vole,Microtus_sp.,NA,9.1,4.3,4.4,23.1,7.3,5.2
Undet._small_Microtidae,NA,NA,0,0,0,1.6,0.5,0.4
House_mouse,Mus_musculus,NA,0,0,0,0,0,0
Harvest_mouse,Micromys_minutus,NA,1.1,0.5,0.2,0.7,0.2,0.1
Yellow-necked_mouse,Apodemus_flavicollis,NA,1.1,0.5,0.8,0,0,0
Undet._mouse,Apodemus_sp.,NA,4.5,2.1,3.1,5.6,1.7,1.7
Birch_mouse,Sicista_betulina,NA,0,0,0,0,0,0
Undet._small_rodent,NA,NA,1.1,0.5,0.2,7.0,2.2,1.3
Domestic_dog,Canis_familiaris,NA,0,0,0,0,0,0
Weasel,Mustela_nivalis,NA,0,0,0,0.7,0.2,0.4
Domestic_cat,Felis_catus,NA,1.1,0.5,1.7,0,0,0
Wild_boar_carcass,NA,Carcass,0,0,0,2.8,0.9,1.9
Deer_carcass,NA,Carcass,1.1,0.5,1.7,1.6,0.5,1.1
Wild_duck,Anas_sp.,NA,0,0,0,0,0,0
Hazel_hen,Bonasa_bonasia,NA,0,0,0,0.2,0.1,0.2
Partridge,Perdix_perdix,NA,0,0,0,0.2,0.1,0.2
NA,Columba_sp.,NA,0,0,0,1.2,0.4,0.8
Tawny_owl,Strix_aluco,NA,0,0,0,1.2,0.4,0.8
Hoopoe,Upupa_epops,NA,0,0,0,0.2,0.1,0.2
Woodpecker,Dendrocopos_sp.,NA,0,0,0,4.7,1.6,3.4
Pipit,Anthus_sp.,NA,0,0,0,0.5,0.1,0.1
Wren,Troglodytes_troglodytes,NA,0,0,0,0.7,0.2,0.1
Dunnock,Prunella_modularis,NA,0,0,0,0.2,0.1,+
Robin,Erithacus_rubecula,NA,0,0,0,1.2,0.4,0.2
Blackbird,Turdus_merula,NA,1.1,0.5,1.7,6.1,2.0,4.2
Songthrush,Turdus_philomelos,NA,0,0,0,13.8,4.4,8.2
Red_wing,Turdus_iliacus,NA,0,0,0,0,0,0
Undet._thrush,Turdus_sp.,NA,0,0,0,7.7,2.4,5.0
Warbler,Phylloscopus_sp.,NA,0,0,0,0.9,0.3,0.1
Undet._tit,Parus_sp.,NA,0,0,0,2.1,0.7,0.4
Jay,Garrulus_glandarius,NA,0,0,0,3.3,1.0,2.2
Starling,Sturnus_vulgaris,NA,0,0,0,0,0,0
Chaffinch,Fringilla_coelebs,NA,0,0,0,1.4,0.4,0.4
Hawfinch,Coccothraustes_coccothraustes,NA,0,0,0,0.5,0.1,0.3
Yellowhammer,Emberiza_citrinella,NA,1.1,0.5,0.8,0,0,0
Undet._large_bird,NA,Undet._birds,0,0,0,0.7,0.2,0.5
Undet._small_passerine,NA,Undet._birds,3.4,1.6,1.4,33.8,10.7,6.5
Bird_egg,NA,Undet._birds,0,0,0,0.5,0.1,+
Grass_snake,Natrix_natrix,NA,0,0,0,5.1,1.6,3.4
Undet._reptile,NA,NA,0,0,0,2.1,0.7,0.9
Common_frog,Rana_temporaria,NA,0,0,0,0.2,0.1,+
Moor_frog,Rana_arvalis,NA,0,0,0,0.5,0.1,0.1
Undet._frog,Rana_sp.,NA,0,0,0,1.6,0.5,0.3
Common_toad,Bufo_bufo,NA,0,0,0,2.3,0.8,1.2
Undet._amphibian,NA,Undet._amphibians,0,0,0,2.3,0.9,1.0
Snail,NA,Gastropoda_sp.,0,0,0,0.7,0.2,+
Carabidae_beetle,NA,Coleoptera,0,0,0,8.2,3.1,+
NA,Geotrupes_sp.,Coleoptera,0,0,0,3.0,1.0,+
NA,Silpha_sp.,Coleoptera,0,0,0,0.9,0.3,+
Chrysomelidae_beetle,NA,Coleoptera,0,0,0,1.2,0.4,+
Other_and_Undet._insects,NA,NA,3.4,1.6,+,34.7,11.0,+
Larvae_of_insects,NA,NA,0,0,0,0.5,0.1,+
Plant_material,NA,NA,2.3,1.1,0.1,0.7,0.3,+
