Common_name,Scientific_name,Comment,FracOccInDiet_S,FracPreyInDiet_S,FracBioInDiet_S
Eastern_hedgehog,Erinaceus_concolor,NA,2.0,0.6,1.5
Mole,Talpa_europaea,NA,16.3,5.1,11.6
Common_shrew,Sorex_araneus,NA,7.8,5.4,1.6
Masked_shrew,Sorex_caecutiens,NA,0.2,0.1,+
Lesser_shrew,Sorex_minutus,NA,2.2,1.0,0.1
Undet._Shrew,Sorex_sp.,NA,1.2,0.3,0.1
Water_shrew,Neomys_fodiens,NA,0.2,0.1,+
Mediterranean_water_shrew,Neomys_anomalus,NA,0.2,0.1,+
Undet._water_shrew,Neomys_sp.,NA,0.2,0.1,+
Undet._Soricidae,NA,NA,0.7,0.2,0.1
Brown_hare,Lepus_europaeus,NA,5.9,1.8,4.5
Red_squirrel,Sciurus_vulgaris,NA,1.0,0.3,0.8
Bank_vole,Clethrionomys_glareolus,NA,8.5,3.0,1.9
Water_vole,Arvicola_terrestris,NA,6.6,2.0,6.3
Pine_vole,Pitymys_subterraneus,NA,4.6,3.9,2.5
Root_vole,Microtus_oeconomus,NA,9.0,3.1,3.0
Short-tailed_vole,Microtus_agrestis,NA,2.0,0.8,0.6
Common_vole,Microtus_arvalis,NA,15.6,6.5,4.6
Undet._vole,Microtus_sp.,NA,57.6,18.2,14.3
Undet._small_Microtidae,NA,NA,1.5,0.5,0.4
House_mouse,Mus_musculus,NA,0.7,0.2,0.1
Common_rat,Rattus_norvegicus,NA,0.5,0.2,0.4
Harvest_mouse,Micromys_minutus,NA,0.5,0.1,+
Striped_field_mouse,Apodemus_agrarius,NA,0,0,0
Yellow-necked_mouse,Apodemus_flavicollis,NA,0.2,0.1,0.1
Wood_mouse,Apodemus_sylvaticus,NA,0.5,0.2,0.2
Undet._mouse,Apodemus_sp.,NA,0.2,0.1,0.1
Forest_dormouse,Dryomys_nitedula,NA,0,0,0
Fat_dormouse,Glis_glis,NA,0.5,0.1,0.4
Undet._small_rodent,NA,NA,0.7,0.2,0.2
Polecat,Mustela_putorius,NA,0.5,0.1,0.4
Stoat,Mustela_erminea,NA,0.2,0.1,0.2
Weasel,Mustela_nivalis,NA,2.7,0.8,1.8
Mustela_nivalis_M._erminea,NA,NA,2.0,0.6,1.5
Ungulate_carcass,NA,Carcass,2.2,0.7,1.7
Teal,Anas_crecca,NA,0,0,0
Hazel_hen,Bonasa_bonasia,NA,0,0,0
Domestic_hen,Gallus_gallus,NA,0,0,0
Partridge,Perdix_perdix,NA,2.0,0.6,1.5
Water_rail,Rallus_aquaticus,NA,0,0,0
Corncrake,Crex_crex,NA,0,0,0
Woodcock,Scolopax_rusticola,NA,0,0,0
Wood_pigeon,Columba_palumbus,NA,0,0,0
NA,Columba_sp.,NA,1.2,0.4,0.9
Tawny_owl,Strix_aluco,NA,0,0,0
Middle_spotted_woodpeeker,Dendrocopos_medius,NA,0,0,0
Woodpecker,Dendrocopos_sp.,NA,0.2,0.1,0.2
Sky_lark,Alauda_arvensis,NA,3.2,1.0,1.2
Wood_lark,Lullula_arborea,NA,0,0,0
Tree_pipit,Anthus_trivialis,NA,0,0,0
Pipit,Anthus_sp.,NA,0,0,0
Wagtail,Motacilla_sp.,NA,0,0,0
Robin,Erithacus_rubecula,NA,0,0,0
Thrush_nightingale,Luscinia_luscinia,NA,0,0,0
Whinchat,Saxicola_rubetra,NA,0.5,0.1,0.1
Blackbird,Turdus_merula,NA,2.2,0.7,2.5
Song_thrush,Turdus_philomelos,NA,2.4,0.7,2.0
Undet._thrush,Turdus_sp.,NA,2.2,0.7,2.0
Undet._tit,Parus_sp.,NA,0,0,0
Tree_creeper,Certhia_familiaris,NA,0.2,0.1,+
Red-backed_shrike,Lanius_collurio,NA,0,0,0
Golden_oriole,Oriolus_oriolus,NA,0,0,0
Jay,Garrulus_glandarius,NA,0.2,0.1,0.2
Crow,Corvus_corone,NA,0.2,0.1,0.2
Starling,Sturnus_vulgaris,NA,0.2,0.1,0.2
Chaffinch,Fringilla_coelebs,NA,0,0,0
Finch,Carduelis_sp.,NA,0.5,0.1,0.1
Yellowhammer,Emberiza_citrinella,NA,1.0,0.3,0.3
Reed_bunting,Emberiza_schoeniclus,NA,0.2,0.1,0.1
Undet._large_bird,NA,Undet._birds,0.7,0.2,0.6
Undet._small_bird,NA,Undet._birds,28.8,8.8,17.2
Slowworm,Anguis_fragilis,NA,0,0,0
Sand_lizard,Lacerta_agilis,NA,0,0,0
Viviparous_lizard,Lacerta_vivipara,NA,0,0,0
Lizard,Lacerta_sp.,NA,0,0,0
Grass_snake,Natrix_natrix,NA,3.7,1.1,3.6
Viper,Vipera_berus,NA,0,0,0
Undet._reptile,NA,NA,1.0,0.3,1.1
Fire-belly,Bombina_sp.,NA,0,0,0
Common_toad,Bufo_bufo,NA,0,0,0
Edible_frog,Rana_esculenta,NA,0,0,0
Common_frog,Rana_temporaria,NA,6.8,3.5,2.7
Moor_frog,Rana_arvalis,NA,2.0,0.9,0.5
Undet._frog,Rana_sp.,NA,5.6,1.8,1.4
Snail,NA,Gastropoda_sp.,0.2,0.1,+
Carabidae_beetle,NA,Coleoptera,21.7,9.1,0.1
NA,Silpha_sp.,Coleoptera,10.2,3.2,+
NA,Coccinella_sp.,Coleoptera,2.2,0.7,+
NA,Dytiscus_sp.,Coleoptera,2.4,0.7,+
NA,Geotrupes_sp.,Coleoptera,6.1,1.9,+
Undet._insect,NA,NA,13.9,5.9,+
Larvae_of_insects,NA,NA,0,0,0
