Common_name,Scientific_name,Comment,FracOccInDiet_S,FracPreyInDiet_S,FracBioInDiet_S,FracOccInDiet_W,FracPreyInDiet_W,FracBioInDiet_W
Mole,Talpa_europaea,NA,7.4,2.1,10.1,2.1,0.7,2.9
Common_shrew,Sorex_araneus,NA,26.1,13.5,5.3,18.4,9.8,3.6
Lesser_shrew,Sorex_minutus,NA,10.0,3.9,0.6,6.2,2.5,0.4
Undet._shrew,Sorex_sp.,NA,1.0,0.3,0.1,0.5,0.1,0.1
Water_shrew,Neomys_fodiens,NA,0.8,0.2,0.1,1.8,0.6,0.3
Mediterranean_water_shrew,Neomys_anomalus,NA,0.2,0.1,+,0,0,0
Undet._water_shrew,Neomys_sp.,NA,0.2,0.1,+,0.5,0.2,0.1
Brown_hare,Lepus_europaeus,NA,0.2,0.1,0.7,0.2,0.1,0.6
Bank_vole,Clethrionomys_glareolus,NA,37.9,16.0,13.5,54.1,31.7,24.5
Water_vole,Arvicola_terrestris,NA,0.4,0.1,0.4,0.7,0.2,0.7
Pine_vole,Pitymys_subterraneus,NA,7.8,2.3,1.9,6.8,2.9,2.3
Root_vole,Microtus_oeconomus,NA,10.0,3.3,5.9,11.9,5.7,9.3
Short-tailed_vole,Microtus_agrestis,NA,2.2,0.6,0.6,2.3,0.8,0.8
Common_vole,Microtus_arvalis,NA,3.8,1.3,1.3,5.5,2.4,2.1
Undet._vole,Microtus_sp.,NA,9.0,2.6,3.9,7.0,2.5,3.3
House_mouse,Mus_musculus,NA,0.2,0.1,+,0.3,0.1,0.1
Common_rat,Rattus_norvegicus,NA,0,0,0,0.6,0.2,2.8
Harvest_mouse,Micromys_minutus,NA,1.6,0.5,0.2,1.9,0.7,0.2
Striped_field_mouse,Apodemus_agrarius,NA,0,0,0,0.8,0.3,0.2
Yellow-necked_mouse,Apodemus_flavicollis,NA,41.9,15.9,22.4,49.9,22.7,31.7
Wood_mouse,Apodemus_sylvaticus,NA,0.6,0.2,0.2,2.1,0.8,0.7
Birch_mouse,Sicista_betulina,NA,0.4,0.1,0.1,0.2,0.1,+
Forest_dormouse,Dryomys_nitedula,NA,0.6,0.2,0.3,0,0,0
Fat_dormouse,Glis_glis,NA,1.6,0.5,1.4,0,0,0
Undet._rodent,NA,NA,1.4,0.4,0.4,2.3,0.7,0.8
Weasel,Mustela_nivalis,NA,0,0,0,0.3,0.1,0.3
Woodpecker,Dendrocopos_sp.,NA,0.4,0.1,0.4,0,0,0
Pipit,Anthus_sp.,NA,0.2,0.1,0.1,0,0,0
Wren,Troglodytes_troglodytes,NA,0.4,0.1,0.1,0,0,0
Robin,Erithacus_rubecula,NA,0.2,0.1,0.1,0.2,0.1,+
Blackbird,Turdus_merula,NA,1.0,0.3,1.4,0,0,0
Song_thrush,Turdus_philomelos,NA,2.0,0.6,1.9,0.5,0.1,0.5
Redwing,Turdus_iliacus,NA,0.6,0.2,0.6,1.1,0.4,1.1
Undet._thrush,Turdus_sp.,NA,2.2,0.6,2.2,0.6,0.2,0.7
Undet._warbler,Acrocephalus_sp.,NA,0.2,0.1,0.1,0,0,0
Undet._warbler,Sylvia_sp.,NA,0.6,0.2,0.1,0,0,0
Goldcrest,Regulus_regulus,NA,0,0,0,0.2,0.1,+
Undet._flycatcher,Ficedula_sp.,NA,0.8,0.2,0.1,0,0,0
Undet._tit,Parus_sp.,NA,1.2,0.3,0.2,0.3,0.1,0.1
Nuthatch,Sitta_europaea,NA,0.4,0.1,0.1,0,0,0
Jay,Garrulus_glandarius,NA,1.2,0.3,2.9,0.2,0.1,0.4
Chaffinch,Fringilla_coelebs,NA,1.6,0.5,0.6,0,0,0
Goldfinch,Carduelis_carduelis,NA,0.6,0.2,0.1,0.3,0.1,0.1
Bullfinch,Pyrrhula_pyrrhula,NA,0,0,0,0.2,0.1,0.1
Hawfinch,Coccothraustes_coccothraustes,NA,0.4,0.1,0.3,0.3,0.1,0.3
Undet._bird,NA,Undet._birds,10.8,3.0,4.9,1.3,0.4,0.5
Common_spadefoot,Pelobates_fuscus,NA,0.2,0.1,0.1,0.2,0.1,0.1
Common_frog,Rana_temporaria,NA,22.0,9.5,6.7,10.6,4.4,4.0
Moor_frog,Rana_arvalis,NA,10.8,3.9,2.7,5.7,3.1,2.4
Undet._frog,Rana_sp.,NA,17.2,5.2,4.1,6.8,2.5,1.9
Insects,NA,Coleoptera,20.0,9.6,0.7,5.9,2.2,0.1
Plant_material,NA,NA,0.8,0.2,0.1,0.7,0.2,+
