Comon_name,Scientific_name,Comment,FracOccInDiet_S,FracPreyInDiet_S,FracBioInDiet_S
Yellow-necked_mouse,Apodemus_flavicollis,NA,1.6,0.7,1.3
Undet._Mouse,Apodemus_sp.,NA,2.0,0.9,1.6
Water_vole,Arvicola_terrestris,NA,0,0,0
Goldfinch,Carduelis_carduelis,NA,0.4,0.2,0.1
Greenfinch,Carduelis_chloris,NA,1.2,0.5,0.9
Siskin,Carduelis_spinus,NA,1.6,0.7,0.6
Tree_creeper,Certhia_familiaris,NA,2.8,1.3,0.7
Bank_vole,Clethrionomys_glareolus,NA,76.4,33.7,34.0
Hawfinch,Coccothraustes_coccothraustes,NA,2.0,0.9,1.6
Great_spotted_woodpecker,Dendrocopos_major,NA,0,0,0
Lesser_spotted_woodpecker,Dendrocopos_minor,NA,0,0,0
Undetermined_woodpecker,Dendrocopos_sp.,NA,0.8,0.4,0.7
Robin,Erithacus_rubecula,NA,24.8,10.9,11.0
Collared_flycatcher,Ficedula_albicollis,NA,0.4,0.2,0.1
Pied_flycatcher,Ficedula_hypoleuca,NA,3.7,1.8,1.3
Undet._Flycatcher,Ficedula_sp.,NA,1.6,0.7,0.5
Chaffinch,Fringilla_coelebs,NA,17.5,7.9,11.7
Red-backed_shrike,Lanius_collurio,NA,0.4,0.2,0.3
Undetermined_vole,Microtus_sp.,NA,1.6,0.7,0.8
Dendrocopos_or_Pyrrhula,NA,NA,1.2,0.5,1.0
Undetermined_passerine,NA,Undet._birds,34.6,15.3,14.5
Insects,NA,Coleoptera,1.6,0.7,+
Coal_tit,Parus_ater,NA,0,0,0
Blue_tit,Parus_caeruleus,NA,4.5,2.0,1.3
Great_tit,Parus_major,NA,5.3,2.4,2.5
Undetermined_tit,Parus_sp.,NA,10.6,4.7,4.1
Redstart,Phoenicurus_phoenicurus,NA,1.6,0.7,0.7
Undet._Warbler,Phylloscopus_sp.,NA,5.7,2.5,1.5
Pine_vole,Pitymys_subterraneus,NA,4.9,2.2,2.2
Bullfinch,Pyrrhula_pyrrhula,NA,1.2,0.5,0.8
Goldcrest,Regulus_regulus,NA,1.2,0.5,0.2
Serin,Serinus_serinus,NA,0.4,0.2,0.1
Birch_mouse,Sicista_betulina,NA,6.5,2.9,1.4
Nuthatch,Sitta_europaea,NA,1.6,0.7,1.0
Common_shrew,Sorex_araneus,NA,0,0,0
Lesser_shrew,Sorex_minutus,NA,0,0,0
Undetermined_shrew,Sorex_sp.,NA,0.8,0.4,0.2
Undet._Warbler,Sylvia_sp.,NA,1.2,0.5,0.5
Wren,Troglodytes_troglodytes,NA,3.7,1.6,0.8
