Taxon,Clade,TrophicLevel,DailyFoodIntake,DailyFoodIntake_Juv,Unit_DailyFoodIntake,NdayPresent_W,NdayPresent_S,NdayPresent_Juv,TableDiet,BodyMass,Unit_BodyMass
Accipiter_gentilis,Raptor,predator,161,119,g/day,197,168,84,Table4-30,1030,g
Accipiter_nisus,Raptor,predator,"78,5","78,5",g/day,197,168,56,Table4-31,200,g
Aegolius_funereus,Raptor,predator,"31,6","31,6",g/day,197,168,30,Table4-46,110,g
Aquila_pomarina,Raptor,predator,"101,4","101,4",g/day,NA,168,90,Table4-35,1350,g
Asio_otus,Raptor,predator,63,63,g/day,45,168,30,Table4-47,290,g
Buteo_buteo,Raptor,predator,"99,5","99,5",g/day,98,168,110,Table4-32,810,g
Canis_lupus,Canidae,predator,5348,5348,g/day,197,168,168,Table4-8,32000,g
Falco_subbuteo,Raptor,predator,"56,3","56,3",g/day,NA,124,50,Table4-40,235,g
Glaucidium_passerinum,Raptor,predator,"38,2","38,2",g/day,197,168,60,Table4-45,65,g
Lutra_lutra,Mustelidae,predator,1100,880,g/day,197,168,168,Table4-25,6000,g
Lynx_lynx,Felidae,predator,2200,2200,g/day,197,168,168,Table4-3,18400,g
Martes_martes,Mustelidae,predator,"189,6",151,g/day,197,168,137,Table4-17,1050,g
Meles_meles,Mustelidae,predator,600,500,g/day,75,168,107,Table4-15,13200,g
Mustela_erminea,Mustelidae,predator,51,41,g/day,197,168,84,Table4-19,230,g
Mustela_nivalis,Mustelidae,predator,36,36,g/day,197,168,84,Table4-21,70,g
Mustela_putorius,Mustelidae,predator,175,140,g/day,197,168,84,Table4-23,725,g
Mustela_vison,Mustelidae,predator,150,120,g/day,197,168,84,Table4-27,825,g
Nyctereutes_procyonoides,Mustelidae,predator,300,240,g/day,127,168,84,Table4-14,5900,g
Pernis_apivorus,Raptor,predator,"99,5","99,5",g/day,NA,168,84,p268,780,g
Strix_aluco,Raptor,predator,"71,6","71,6",g/day,197,168,138,Table4-42,490,g
Vulpes_vulpes,Canidae,predator,470,447,g/day,197,168,84,Table4-11,6100,g
