LowerClade,LowerTaxon,UpperClade,UpperTaxon,IntakePrey_W,IntakePrey_S,IntakePrey_Unit
Passerine,Anthus_sp.,Raptor,Accipiter_gentilis,0,28.4566,g/y
Rodent,Arvicola_terrestris,Raptor,Accipiter_gentilis,85.9306,56.9132,g/y
Galliforme,Bonasa_bonasia,Raptor,Accipiter_gentilis,171.8613,113.8264,g/y
Passerine,Carduelis_chloris,Raptor,Accipiter_gentilis,42.9653,28.4566,g/y
Rodent,Clethrionomys_glareolus,Raptor,Accipiter_gentilis,257.7919,170.7396,g/y
Passerine,Coccothraustes_coccothraustes,Raptor,Accipiter_gentilis,386.6879,256.1094,g/y
Columbiforme,Columba_palumbus,Raptor,Accipiter_gentilis,1675.6475,1109.8075,g/y
Passerine,Corvus_corone,Raptor,Accipiter_gentilis,257.7919,170.7396,g/y
Passerine,Corvus_frugilegus,Raptor,Accipiter_gentilis,171.8613,113.8264,g/y
Cuculiforme,Cuculus_canorus,Raptor,Accipiter_gentilis,0,113.8264,g/y
Piciforme,Dendrocopos_leucotos,Raptor,Accipiter_gentilis,1675.6475,1109.8075,g/y
Piciforme,Dendrocopos_major,Raptor,Accipiter_gentilis,2019.3701,1337.4603,g/y
Piciforme,Dendrocopos_medius,Raptor,Accipiter_gentilis,1804.5435,1195.1773,g/y
Piciforme,Dryocopus_martius,Raptor,Accipiter_gentilis,300.7572,199.1962,g/y
Rodent,Dryomys_nitedula,Raptor,Accipiter_gentilis,42.9653,28.4566,g/y
Passerine,Erithacus_rubecula,Raptor,Accipiter_gentilis,0,2.8457,g/y
Passerine,Ficedula_hypoleuca,Raptor,Accipiter_gentilis,0,2.8457,g/y
Passerine,Fringilla_coelebs,Raptor,Accipiter_gentilis,0,113.8264,g/y
Passerine,Garrulus_glandarius,Raptor,Accipiter_gentilis,11342.8448,7512.5429,g/y
Piciforme,Jynx_torquilla,Raptor,Accipiter_gentilis,0,28.4566,g/y
Charadriiforme,Larus_ridibundus,Raptor,Accipiter_gentilis,0,113.8264,g/y
Lagomorpha,Lepus_europaeus,Raptor,Accipiter_gentilis,472.6185,313.0226,g/y
Rodent,Micromys_minutus,Raptor,Accipiter_gentilis,4.2965,2.8457,g/y
Rodent,Microtus_oeconomus,Raptor,Accipiter_gentilis,42.9653,28.4566,g/y
Reptile,Natrix_natrix,Raptor,Accipiter_gentilis,85.9306,56.9132,g/y
Passerine,Nucifraga_caryocatactes,Raptor,Accipiter_gentilis,386.6879,256.1094,g/y
Passerine,Oriolus_oriolus,Raptor,Accipiter_gentilis,0,313.0226,g/y
Passerine,Parus_major,Raptor,Accipiter_gentilis,42.9653,28.4566,g/y
Passerine,Phylloscopus_sibilatrix,Raptor,Accipiter_gentilis,0,2.8457,g/y
Piciforme,Picus_viridis,Raptor,Accipiter_gentilis,85.9306,56.9132,g/y
Amphibian,Rana_temporaria,Raptor,Accipiter_gentilis,42.9653,28.4566,g/y
Rodent,Sciurus_vulgaris,Raptor,Accipiter_gentilis,4812.116,3187.1394,g/y
Passerine,Sitta_europaea,Raptor,Accipiter_gentilis,4.2965,2.8457,g/y
Passerine,Sturnus_vulgaris,Raptor,Accipiter_gentilis,0,85.3698,g/y
Shrew/Mole,Talpa_europaea,Raptor,Accipiter_gentilis,257.7919,170.7396,g/y
Passerine,Turdus_iliacus,Raptor,Accipiter_gentilis,0,569.132,g/y
Passerine,Turdus_merula,Raptor,Accipiter_gentilis,0,2874.1168,g/y
Passerine,Turdus_philomelos,Raptor,Accipiter_gentilis,0,1735.8527,g/y
Bird,Undet._birds,Raptor,Accipiter_gentilis,5241.7692,3471.7054,g/y
Charadriiforme,Vanellus_vanellus,Raptor,Accipiter_gentilis,0,56.9132,g/y
Passerine,Aegithalos_caudatus,Raptor,Accipiter_nisus,2.6305,1.3328,g/y
Passerine,Alauda_arvensis,Raptor,Accipiter_nisus,0,159.9353,g/y
Passerine,Anthus_sp.,Raptor,Accipiter_nisus,0,106.6235,g/y
Rodent,Apodemus_sylvaticus,Raptor,Accipiter_nisus,52.6093,26.6559,g/y
Passerine,Carduelis_chloris,Raptor,Accipiter_nisus,157.8279,79.9677,g/y
Passerine,Certhia_familiaris,Raptor,Accipiter_nisus,26.3046,13.3279,g/y
Rodent,Clethrionomys_glareolus,Raptor,Accipiter_nisus,447.1789,226.575,g/y
Passerine,Coccothraustes_coccothraustes,Raptor,Accipiter_nisus,920.6625,466.478,g/y
Columbiforme,Columba_livia,Raptor,Accipiter_nisus,131.5232,66.6397,g/y
Piciforme,Dendrocopos_major,Raptor,Accipiter_nisus,1253.8547,635.2986,g/y
Piciforme,Dendrocopos_medius,Raptor,Accipiter_nisus,911.8943,462.0354,g/y
Piciforme,Dendrocopos_minor,Raptor,Accipiter_nisus,780.3711,395.3957,g/y
Passerine,Emberiza_citrinella,Raptor,Accipiter_nisus,631.3114,319.8706,g/y
Passerine,Emberiza_schoeniclus,Raptor,Accipiter_nisus,0,13.3279,g/y
Passerine,Erithacus_rubecula,Raptor,Accipiter_nisus,0,546.4457,g/y
Passerine,Ficedula_hypoleuca,Raptor,Accipiter_nisus,0,53.3118,g/y
Passerine,Fringilla_coelebs,Raptor,Accipiter_nisus,0,972.9399,g/y
Passerine,Garrulus_glandarius,Raptor,Accipiter_nisus,1025.8811,519.7898,g/y
Passerine,Hippolais_icterina,Raptor,Accipiter_nisus,0,13.3279,g/y
Passerine,Hirundo_rustica,Raptor,Accipiter_nisus,0,26.6559,g/y
Passerine,Lanius_collurio,Raptor,Accipiter_nisus,0,173.2633,g/y
Rodent,Microtus_oeconomus,Raptor,Accipiter_nisus,52.6093,26.6559,g/y
Passerine,Motacilla_flava,Raptor,Accipiter_nisus,0,53.3118,g/y
Passerine,Nucifraga_caryocatactes,Raptor,Accipiter_nisus,184.1325,93.2956,g/y
Passerine,Oriolus_oriolus,Raptor,Accipiter_nisus,0,39.9838,g/y
Passerine,Parus_caeruleus,Raptor,Accipiter_nisus,933.8148,473.142,g/y
Passerine,Parus_major,Raptor,Accipiter_nisus,1670.3449,846.3244,g/y
Passerine,Phylloscopus_collybita,Raptor,Accipiter_nisus,0,41.3166,g/y
Passerine,Phylloscopus_sibilatrix,Raptor,Accipiter_nisus,0,66.6397,g/y
Piciforme,Picoides_tridactylus,Raptor,Accipiter_nisus,263.0464,133.2794,g/y
Passerine,Prunella_modularis,Raptor,Accipiter_nisus,157.8279,79.9677,g/y
Passerine,Pyrrhula_pyrrhula,Raptor,Accipiter_nisus,105.2186,53.3118,g/y
Passerine,Regulus_regulus,Raptor,Accipiter_nisus,2.6305,1.3328,g/y
Passerine,Riparia_riparia,Raptor,Accipiter_nisus,0,13.3279,g/y
