Taxon,Clade,TrophicLevel,IsData,M,SourceM,Unit_M,LifeExpectWild,LifeExpectCapti,Unit_LifeExpect,Source_LifeExpect,MbasedOnLifeExpectWild,MbasedOnLifeExpectCapti,BodyMass,Unit_BodyMass
Accipiter_gentilis,Raptor,predator,FALSE,NA,NA,/year,22,NA,year,AnAge,"0,045",NA,"0,866",kg
Accipiter_nisus,Raptor,predator,FALSE,NA,NA,/year,"20,2",NA,year,AnAge,"0,05",NA,"0,221",kg
Aegolius_funereus,Raptor,predator,FALSE,NA,NA,/year,NA,"15,9",year,AnAge,"0,063","0,063","0,137",kg
Aquila_pomarina,Raptor,predator,FALSE,NA,NA,/year,"26,1",NA,year,AnAge,"0,038",NA,"1,359",kg
Asio_otus,Raptor,predator,FALSE,NA,NA,/year,"27,8",NA,year,AnAge,"0,036",NA,"0,297",kg
Buteo_buteo,Raptor,predator,FALSE,NA,NA,/year,"28,8",NA,year,AnAge,"0,035",NA,"0,759",kg
Canis_lupus,Canidae,predator,FALSE,NA,NA,/year,"13,7","20,6",year,AnAge,"0,073","0,049","32,183",kg
Falco_subbuteo,Raptor,predator,FALSE,NA,NA,/year,"14,9",NA,year,AnAge,"0,067",NA,"0,208",kg
Glaucidium_passerinum,Raptor,predator,FALSE,NA,NA,/year,6,NA,year,AnAge,"0,167",NA,"0,058",kg
Lutra_lutra,Mustelidae,predator,FALSE,NA,NA,/year,NA,"18,2",year,AnAge,NA,"0,055","8,785",kg
Lynx_lynx,Felidae,predator,TRUE,"0,34",p. 103,/year,NA,"23,7",year,AnAge,NA,"0,042","17,95",kg
Martes_martes,Mustelidae,predator,FALSE,NA,NA,/year,NA,"18,2",year,AnAge,NA,"0,055","1,3",kg
Meles_meles,Mustelidae,predator,FALSE,NA,NA,/year,NA,"18,6",year,AnAge,NA,"0,054",13,kg
Mustela_erminea,Mustelidae,predator,FALSE,NA,NA,/year,NA,"12,5",year,AnAge,NA,"0,08","0,119",kg
Mustela_nivalis,Mustelidae,predator,FALSE,NA,NA,/year,NA,"9,1",year,AnAge,NA,"0,11","0,104",kg
Mustela_putorius,Mustelidae,predator,FALSE,NA,NA,/year,"5,5","11,1",year,AnAge,"0,182","0,09","0,915",kg
Mustela_vison,Mustelidae,predator,FALSE,NA,NA,/year,10,"11,4",year,AnAge,"0,1","0,088","1,15",kg
Nyctereutes_procyonoides,Mustelidae,predator,FALSE,NA,NA,/year,NA,"16,6",year,AnAge,NA,"0,06","4,04",kg
Pernis_apivorus,Raptor,predator,FALSE,NA,NA,/year,29,NA,year,AnAge,"0,034",NA,"0,754",kg
Strix_aluco,Raptor,predator,FALSE,NA,NA,/year,"22,4",NA,year,AnAge,"0,045",NA,"0,472",kg
Vulpes_vulpes,Canidae,predator,FALSE,NA,NA,/year,5,"21,3",year,AnAge,"0,2","0,047","5,476",kg
