CladeBis,Clade,Taxon,Trophic_level,IsMigratoryBird,Body_mass,Unit_Body_mass,Spring_density,Unit_Spring_density,Summer_density,Unit_Summer_density,Autumn_density,Unit_Autumn_density,Winter_density,Unit_Winter_density,Max_density,Unit_Max_density,Mean_density,Unit_Mean_density
Bird,Bird,Accipiter_gentilis,Predator,FALSE,1030,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0024,N/ha
Bird,Bird,Accipiter_nisus,Predator,FALSE,200,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00369,N/ha
Bird,Bird,Aegolius_funereus,Predator,FALSE,110,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00055,N/ha
Bird,Bird,Aquila_pomarina,Predator,TRUE,1350,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0022,N/ha
Bird,Bird,Asio_otus,Predator,FALSE,290,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-04,N/ha
Bird,Bird,Buteo_buteo,Predator,FALSE,810,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0117,N/ha
Mammal,Mammal,Canis_lupus,Predator,FALSE,32000,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023,N/ha
Bird,Bird,Falco_subbuteo,Predator,TRUE,235,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00052,N/ha
Bird,Bird,Glaucidium_passerinum,Predator,FALSE,65,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00072,N/ha
Mammal,Mammal,Lutra_lutra,Predator,FALSE,6000,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00031,N/ha
Mammal,Mammal,Lynx_lynx,Predator,FALSE,18400,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00042,N/ha
Mammal,Mammal,Martes_martes,Predator,FALSE,1050,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00568,N/ha
Mammal,Mammal,Meles_meles,Predator,FALSE,13200,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00036,N/ha
Mammal,Mammal,Mustela_erminea,Predator,FALSE,230,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,N/ha
Mammal,Mammal,Mustela_nivalis,Predator,FALSE,70,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0184,N/ha
Mammal,Mammal,Mustela_putorius,Predator,FALSE,725,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00438,N/ha
Mammal,Mammal,Mustela_vison,Predator,FALSE,825,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00066,N/ha
Mammal,Mammal,Nyctereutes_procyonoides,Predator,FALSE,5900,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00171,N/ha
Bird,Bird,Pernis_apivorus,Predator,TRUE,780,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0028,N/ha
Bird,Bird,Strix_aluco,Predator,FALSE,490,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0181,N/ha
Mammal,Mammal,Vulpes_vulpes,Predator,FALSE,6100,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00097,N/ha
Fish,Fish,Abramis_brama,Prey,FALSE,280,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0441,N/ha
Bird,Passerine,Acrocephalus_sp.,Prey,TRUE,12,g,0.0345,N/ha,0.10488,N/ha,NA,NA,NA,NA,NA,NA,NA,NA
Bird,Passerine,Aegithalos_caudatus,Prey,FALSE,9,g,0.0438,N/ha,0.133152,N/ha,NA,NA,0.014016,N/ha,NA,NA,NA,NA
Bird,Passerine,Alauda_arvensis,Prey,TRUE,37,g,0.0177,N/ha,0.053808,N/ha,NA,NA,NA,NA,NA,NA,NA,NA
Bird,Anseriforme,Anas_sp.,Prey,FALSE,1000,g,0.0103,N/ha,0.031312,N/ha,NA,NA,0.003296,N/ha,0.1534,N/ha,NA,NA
Reptile,Reptile,Anguis_fragilis,Prey,FALSE,30,g,NA,NA,NA,NA,NA,NA,NA,NA,6.49,N/ha,2.86,N/ha
Bird,Passerine,Anthus_sp.,Prey,TRUE,20,g,0.1863,N/ha,0.566352,N/ha,NA,NA,NA,NA,0.143,N/ha,NA,NA
Mammal,Rodent,Apodemus_agrarius,Prey,FALSE,17,g,0.17,N/ha,0.53,N/ha,0.98,N/ha,0.17,NA,NA,NA,NA,NA
Mammal,Rodent,Apodemus_flavicollis,Prey,FALSE,31,g,3.1,N/ha,13.2,N/ha,24.8,N/ha,3.1,NA,171,N/ha,NA,NA
Mammal,Rodent,Apodemus_sylvaticus,Prey,FALSE,20,g,0.02,N/ha,0.05,N/ha,0.1,N/ha,0.02,NA,NA,NA,NA,NA
Mammal,Rodent,Arvicola_terrestris,Prey,FALSE,130,g,0.02,N/ha,0.05,N/ha,0.1,N/ha,0.02,NA,NA,NA,NA,NA
Other,Crustacean,Astacus_sp.,Prey,FALSE,32,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0436,N/ha
Mammal,Ungulate,Bison_bonasus,Prey,FALSE,400000,g,0.0046,N/ha,0.0054,N/ha,NA,NA,0.0046,NA,NA,NA,NA,NA
Fish,Fish,Blicca_bjoerkna,Prey,FALSE,145,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0882,N/ha
Bird,Galliforme,Bonasa_bonasia,Prey,FALSE,420,g,0.0529,N/ha,0.160816,N/ha,NA,NA,0.016928,N/ha,NA,NA,NA,NA
Amphibian,Amphibian,Bufo_sp.,Prey,FALSE,77,g,1.23,N/ha,3.7,N/ha,18.5,N/ha,1.23,NA,8.88,N/ha,NA,NA
Mammal,Ungulate,Capreolus_capreolus,Prey,FALSE,20000,g,0.038,N/ha,0.0635,N/ha,NA,NA,0.038,NA,NA,NA,NA,NA
Fish,Fish,Carassius_carassius,Prey,FALSE,82,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2597,N/ha
Other,Other,Carcass,Prey,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bird,Passerine,Carduelis_cannabina,Prey,TRUE,18,g,0.0032,N/ha,0.009728,N/ha,NA,NA,NA,NA,0.055,N/ha,NA,NA
Bird,Passerine,Carduelis_carduelis,Prey,FALSE,14,g,0.0057,N/ha,0.017328,N/ha,NA,NA,0.001824,N/ha,0.031,N/ha,NA,NA
Bird,Passerine,Carduelis_chloris,Prey,FALSE,28,g,0.0112,N/ha,0.034048,N/ha,NA,NA,0.003584,N/ha,0.044,N/ha,NA,NA
Bird,Passerine,Carduelis_spinus,Prey,FALSE,14,g,0.0672,N/ha,0.204288,N/ha,NA,NA,0.021504,N/ha,0.091,N/ha,NA,NA
Mammal,Rodent,Castor_fiber,Prey,FALSE,19000,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152,N/ha
Bird,Passerine,Certhia_familiaris,Prey,FALSE,9,g,0.2477,N/ha,0.753008,N/ha,NA,NA,0.079264,N/ha,0.436,N/ha,NA,NA
Mammal,Ungulate,Cervus_elaphus,Prey,FALSE,100000,g,0.0461,N/ha,0.0653,N/ha,NA,NA,0.0461,NA,NA,NA,NA,NA
Mammal,Rodent,Clethrionomys_glareolus,Prey,FALSE,17,g,10.4,N/ha,28.8,N/ha,53.3,N/ha,10.4,NA,194,N/ha,NA,NA
Bird,Passerine,Coccothraustes_coccothraustes,Prey,FALSE,55,g,0.2312,N/ha,0.702848,N/ha,NA,NA,0.073984,N/ha,0.619,N/ha,NA,NA
