,Accipiter_gentilis,Accipiter_nisus,Aegolius_funereus,Asio_otus,Buteo_buteo,Canis_lupus,Glaucidium_passerinum,Lutra_lutra,Lynx_lynx,Martes_martes,Mustela_erminea,Mustela_nivalis,Mustela_putorius,Mustela_vison,Nyctereutes_procyonoides,Strix_aluco,Vulpes_vulpes
Abramis_brama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aegithalos_caudatus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alauda_arvensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anas_sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anthus_sp.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apodemus_agrarius,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Apodemus_flavicollis,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
Apodemus_sylvaticus,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Arvicola_terrestris,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
Astacus_sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Bison_bonasus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blicca_bjoerkna,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bonasa_bonasia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Bufo_sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Bulbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Canis_familiaris,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Capreolus_capreolus,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Carassius_carassius,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Carcass,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1
Carduelis_carduelis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Carduelis_chloris,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Carduelis_spinus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Certhia_familiaris,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cervus_elaphus,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Clethrionomys_glareolus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coccothraustes_coccothraustes,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Coleoptera,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
Columba_livia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columba_palumbus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvus_corone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvus_frugilegus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuculus_canorus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cygnus_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dendrocopos_leucotos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendrocopos_major,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
Dendrocopos_medius,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendrocopos_minor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dryocopus_martius,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dryomys_nitedula,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emberiza_citrinella,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Emberiza_schoeniclus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erinaceus_concolor,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Erithacus_rubecula,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Esox_lucius,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Felis_catus,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Ficedula_albicollis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
